FINAL HEAT OF FORMATION =     -1513.8646384330  time =       0.0000000000
  6        3.6396286447      -8.0699642693      -3.9615921388
  6       -2.8194995831       7.1295831692      -0.3615949868
  7       -1.3858794139       3.1831973573       0.3068179764
  1        0.3308099739      -1.0561553783       0.5316813845
  1        0.3729411595      -0.2663839673      -0.0165046590
  6       -0.4773695688       0.9562788366       1.2492548835
  8        1.1717415331       0.0733780015      -0.5382992452
  7       -5.2913951443      -3.1542896117      -0.4319290525
  6        7.5291758428       2.8703947947       4.5296527720
  7       -0.3970102886      -2.0047627629      -1.4325785092
  1       -0.1237852665      -0.0611603130      -0.0292269646
  1       -0.0177794000       0.3231584684      -0.0901338766
  1       -2.5315784888       0.0767256749       0.2444524163
FINAL HEAT OF FORMATION =     -1513.8645291258  time =       2.7000000000
  6        3.5460457113      -8.1450533171      -3.9127462559
  6       -2.8085636625       7.1085550459      -0.4430476466
  7       -1.4021701062       3.1233221245       0.3294435089
  1        0.3519762146      -1.0321859849       0.5056165393
  1        0.3640539969      -0.2726573425      -0.0593036906
  6       -0.4201505002       0.9590144767       1.2146765851
  8        1.1093969370       0.0660573605      -0.5065892656
  7       -5.1982553817      -3.0949521914      -0.4405499912
  6        7.4162964268       2.7811134675       4.5303108465
  7       -0.3533999235      -1.9598352043      -1.4651987161
  1       -0.1973059902      -0.0893326031      -0.0128149611
  1        0.0176226012       0.3389110501      -0.0422018820
  1       -2.4255463233       0.2170431181       0.3024049293
FINAL HEAT OF FORMATION =     -1513.8645394780  time =       2.8000000000
  6        3.4482774378      -8.2162516133      -3.8585635673
  6       -2.7967338649       7.0862437767      -0.5267516130
  7       -1.4171239284       3.0625236249       0.3506997173
  1        0.3734585177      -1.0073540417       0.4788936960
  1        0.3553038324      -0.2790392875      -0.1022045899
  6       -0.3619621562       0.9615329919       1.1792868460
  8        1.0457854946       0.0586429714      -0.4741903750
  7       -5.1005404114      -3.0332816383      -0.4502522053
  6        7.2981473753       2.6881512998       4.5314251160
  7       -0.3095515435      -1.9137962290      -1.4967791833
  1       -0.2707287532      -0.1176904674       0.0034904151
  1        0.0527855013       0.3549016419       0.0057608096
  1       -2.3171175014       0.3554169707       0.3591849338
FINAL HEAT OF FORMATION =     -1513.8645490728  time =       2.9000000000
  6        3.3464632239      -8.2832282740      -3.7988654356
  6       -2.7840390953       7.0626390993      -0.6126665735
  7       -1.4306046543       3.0009236536       0.3703864770
  1        0.3952130556      -0.9816715483       0.4515474199
  1        0.3467333440      -0.2855124723      -0.1450297868
  6       -0.3029221007       0.9638035188       1.1431292783
  8        0.9810130237       0.0511523810      -0.4411514762
  7       -4.9981585644      -2.9692780377      -0.4611136699
  6        7.1746454928       2.5914980650       4.5330378935
  7       -0.2656468352      -1.8667187778      -1.5270560141
  1       -0.3437087450      -0.1461279195       0.0195978669
  1        0.0875340342       0.3710857457       0.0535558906
  1       -2.2065221794       0.4914345662       0.4146281298
FINAL HEAT OF FORMATION =     -1513.8645579028  time =       3.0000000000
  6        3.2406317958      -8.3455874940      -3.7336173087
  6       -2.7703837198       7.0376391861      -0.7006280871
  7       -1.4424862691       2.9386398497       0.3883033264
  1        0.4171956522      -0.9551517259       0.4236132320
  1        0.3383847311      -0.2920580180      -0.1875959887
  6       -0.2431489614       0.9657942677       1.1062462413
  8        0.9151862193       0.0436037730      -0.4075216307
  7       -4.8910196870      -2.9029431001      -0.4732128449
  6        7.0457104506       2.4911464038       4.5351919180
  7       -0.2218732602      -1.8186769966      -1.5557568149
  1       -0.4158921962      -0.1745358940       0.0354132497
  1        0.1216890890       0.3874163605       0.1009797783
  1       -2.0939938443       0.6247133877       0.4685849293
FINAL HEAT OF FORMATION =     -1513.8645660025  time =       3.1000000000
  6        3.1309318809      -8.4030517380      -3.6626789548
  6       -2.7557799758       7.0112329649      -0.7905978112
  7       -1.4526505954       2.8757862598       0.4042532664
  1        0.4393618271      -0.9278090267       0.3951280387
  1        0.3302986820      -0.2986560939      -0.2297168373
  6       -0.1827634479       0.9674748096       1.0686806187
  8        0.8484129204       0.0360148045      -0.3733506775
  7       -4.7790362387      -2.8342805809      -0.4866305900
  6        6.9112649150       2.3870920121       4.5379322753
  7       -0.1784252568      -1.7697466834      -1.5826064175
  1       -0.4869170596      -0.2028030424       0.0508398585
  1        0.1550698767       0.4038450603       0.1478269607
  1       -1.9797675279       0.7549012542       0.5209202700
FINAL HEAT OF FORMATION =     -1513.8645733914  time =       3.2000000000
  6        3.0174390062      -8.4553109527      -3.5860453416
  6       -2.7401553542       6.9833515823      -0.8824227322
  7       -1.4609916379       2.8124718234       0.4180411457
  1        0.4616670948      -0.8996589103       0.3661295043
  1        0.3225154366      -0.3052861042      -0.2712018738
  6       -0.1218865426       0.9688140024       1.0304755227
  8        0.7808013134       0.0284032327      -0.3386885794
  7       -4.6621249687      -2.7632969015      -0.5014486195
  6        6.7712369916       2.2793338896       4.5413044205
  7       -0.1355004295      -1.7200036968      -1.6073251459
  1       -0.5564170287      -0.2308165059       0.0657794725
  1        0.1874937616       0.4203213901       0.1938892229
  1       -1.8640776425       0.8816771508       0.5715130038
FINAL HEAT OF FORMATION =     -1513.8645801463  time =       3.3000000000
  6        2.9002768756      -8.5021136300      -3.5036393866
  6       -2.7234759852       6.9539573140      -0.9760407806
  7       -1.4674135773       2.7487997292       0.4294744915
  1        0.4840667172      -0.8707181767       0.3366563412
  1        0.3150731016      -0.3119267071      -0.3118583904
  6       -0.0606412636       0.9697821541       0.9916742201
  8        0.7124606354       0.0207870379      -0.3035858587
  7       -4.5402054401      -2.6900013594      -0.5177496245
  6        6.6255589530       2.1678754614       4.5453547166
  7       -0.0932998185      -1.6695244351      -1.6296324521
  1       -0.6240227333      -0.2584623879       0.0801325963
  1        0.2187787067       0.4367934960       0.2389583682
  1       -1.7471561715       1.0047515038       0.6202557590
FINAL HEAT OF FORMATION =     -1513.8645863112  time =       3.4000000000
  6        2.7796215916      -8.5432206376      -3.4154830688
  6       -2.7057502017       6.9230008695      -1.0713108178
  7       -1.4718319168       2.6848670691       0.4383658148
  1        0.5065162318      -0.8410046208       0.3067481635
  1        0.3080077604      -0.3185549311      -0.3514920324
  6        0.0008490648       0.9703482853       0.9523200308
  8        0.6434996935       0.0131832492      -0.2680927462
  7       -4.4132028361      -2.6144052043      -0.5356174544
  6        6.4741699024       2.0527239588       4.5501305603
  7       -0.0520265457      -1.6183842932      -1.6492490182
  1       -0.6893648981      -0.2856269596       0.0937996465
  1        0.2487433477       0.4532078397       0.2828265500
  1       -1.6292311940       1.1238653752       0.6670543720
FINAL HEAT OF FORMATION =     -1513.8645919248  time =       3.5000000000
